mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.06788897514343262,0.002802786046798794,0.008098443349202475,0.00014323412707291106,,1,2,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.7490636704119851,0.8052434456928839,0.8909774436090225,0.8150948532379637,0.05835333425903208,17
0.1378361384073893,0.010096683710922295,0.015079975128173828,0.000817413801433493,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7453183520599251,0.8127340823970037,0.8796992481203008,0.81258389419241,0.054860873877290536,26
0.26053524017333984,0.0038022327383348607,0.026564915974934895,0.00022987378704362657,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7490636704119851,0.8352059925093633,0.8834586466165414,0.8225761031792965,0.05558859586655711,4
0.064726988474528,0.000629998988601087,0.007834593454996744,0.00013982286991031395,,1,5,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.7790262172284644,0.8239700374531835,0.8721804511278195,0.825058901936489,0.038037849945733365,1
0.1276246706644694,0.0014219312351917022,0.013884782791137695,4.166030677120326e-05,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7640449438202247,0.8277153558052435,0.8721804511278195,0.8213135835844293,0.044377614483303886,7
0.2540922959645589,0.0014632288951107507,0.025733550389607746,4.134590324419367e-05,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.7602996254681648,0.8202247191011236,0.8721804511278195,0.8175682652323694,0.045713764141223585,11
0.06337690353393555,0.0005696627000954127,0.00772245724995931,3.213986993454487e-05,,1,10,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.7602996254681648,0.8089887640449438,0.8458646616541353,0.805051017055748,0.03504257641678955,43
0.12436532974243164,0.0013894068618474837,0.013813098271687826,0.00020802977032024619,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.7640449438202247,0.8052434456928839,0.8383458646616542,0.8025447513915877,0.03039318917860797,49
0.247679074605306,0.0027639098134225916,0.025585015614827473,0.00018082351331746564,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.7565543071161048,0.8052434456928839,0.8421052631578947,0.8013010053222945,0.03503711029725297,56
0.06414405504862468,0.00042133684649966184,0.007820924123128256,2.791183682892473e-05,,2,2,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.7528089887640449,0.797752808988764,0.8533834586466166,0.8013150854664751,0.041136547888852806,53
0.1266146500905355,0.001414389015979912,0.013969500859578451,0.00015331363114777356,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7602996254681648,0.8202247191011236,0.8571428571428571,0.8125557339040484,0.03990624747049223,28
0.2521982192993164,0.003817352344479718,0.026049216588338215,0.00024694397992428387,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7677902621722846,0.8127340823970037,0.8571428571428571,0.8125557339040484,0.03647826214000604,28
0.0638891061147054,0.0003019713717289705,0.007809638977050781,5.0420127666494755e-05,,2,5,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7565543071161048,0.7902621722846442,0.8609022556390977,0.8025729116799489,0.04348018183482082,46
0.125014066696167,0.0012670641530071773,0.013849576314290365,0.00011325348180822721,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7640449438202247,0.8052434456928839,0.8646616541353384,0.811316681216149,0.04130047409695327,34
0.24981212615966797,0.0021151008140117278,0.025918324788411457,0.0003313713684845692,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7640449438202247,0.8052434456928839,0.8721804511278195,0.8138229468803093,0.044561028306780194,21
0.06260927518208821,0.000613220907589564,0.007829984029134115,0.00012168543170398667,,2,10,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.7677902621722846,0.797752808988764,0.8270676691729323,0.7975369134446603,0.024200381585759906,70
0.1230463186899821,0.0015003148344477856,0.013761520385742188,9.898611868079167e-05,,2,10,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7640449438202247,0.8089887640449438,0.8195488721804511,0.7975275266818732,0.02406507133134066,76
0.24393765131632486,0.002899739837452514,0.02588208516438802,0.0002726056481949886,,2,10,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.7602996254681648,0.8089887640449438,0.8233082706766918,0.7975322200632667,0.026968644048926935,73
0.06162675221761068,0.00044132974179784273,0.00760340690612793,3.792129758250265e-05,,4,2,50,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.7565543071161048,0.797752808988764,0.8383458646616542,0.7975509935888411,0.03339156848191333,60
